idx, row, column, demarcated, area, solidity, eccentricity, equivalent_diameter, perimeter, degree, strength, betweenness
173, 665, 3417, False, 815.0000, 0.9784, 0.8026, 32.2132, 111.2548, 116.0000, 106.2233, 0.0000
174, 684, 1711, False, 2763.0000, 0.9505, 0.8250, 59.3124, 221.5807, 43.0000, 39.1965, 0.0000
175, 688, 7732, False, 2488.0000, 0.9784, 0.6193, 56.2834, 191.2965, 43.0000, 32.8173, 0.0000
176, 702, 12461, False, 2345.0000, 0.9751, 0.8628, 54.6420, 196.1665, 31.0000, 29.3560, 0.0000
177, 805, 5732, False, 44771.0000, 0.9925, 0.5422, 238.7555, 814.2224, 25.0000, 13.3524, 0.0005
178, 687, 1770, False, 1040.0000, 0.9720, 0.6330, 36.3891, 123.0122, 44.0000, 39.8007, 0.0000
179, 700, 3247, False, 1447.0000, 0.9692, 0.7579, 42.9229, 150.6102, 104.0000, 95.3510, 0.0000
180, 732, 1017, False, 5575.0000, 0.9489, 0.7464, 84.2515, 317.4214, 35.0000, 28.2897, 0.0000
181, 734, 4419, False, 2544.0000, 0.9758, 0.8958, 56.9133, 221.3381, 91.0000, 79.9154, 0.0000
182, 753, 7228, False, 6336.0000, 0.9416, 0.6755, 89.8178, 330.9777, 40.0000, 32.7151, 0.0000
183, 885, 8444, False, 97139.0000, 0.9395, 0.5512, 351.6834, 1300.5210, 26.0000, 4.5873, 0.0000
184, 716, 1751, False, 401.0000, 0.9663, 0.7669, 22.5958, 75.9411, 45.0000, 40.4687, 0.0000
185, 785, 9628, False, 9668.0000, 0.8001, 0.9338, 110.9490, 556.6173, 25.0000, 21.3963, 0.0000
186, 838, 11213, False, 24329.0000, 0.8901, 0.8856, 176.0018, 728.4407, 19.0000, 11.4799, 0.0000
187, 734, 618, False, 881.0000, 0.9235, 0.7910, 33.4921, 126.2254, 28.0000, 20.6567, 0.0011
188, 741, 4049, False, 3571.0000, 0.7848, 0.8737, 67.4295, 287.0366, 127.0000, 114.2820, 0.0000
189, 729, 1776, False, 406.0000, 0.9575, 0.8523, 22.7362, 81.1127, 45.0000, 40.4732, 0.0000
190, 741, 7432, False, 2809.0000, 0.9545, 0.7775, 59.8041, 212.6518, 45.0000, 36.4141, 0.0000
191, 757, 2226, False, 1676.0000, 0.9682, 0.9147, 46.1947, 175.3970, 50.0000, 45.3588, 0.0000
192, 747, 4136, False, 1224.0000, 0.9761, 0.6246, 39.4771, 135.2965, 117.0000, 105.7618, 0.0000
193, 780, 7319, False, 4410.0000, 0.9548, 0.8004, 74.9332, 269.0782, 45.0000, 35.8137, 0.0000
194, 791, 3643, False, 10693.0000, 0.9881, 0.5852, 116.6823, 393.7056, 138.0000, 111.0060, 0.0000
195, 772, 1794, False, 2196.0000, 0.9619, 0.8729, 52.8775, 199.7229, 46.0000, 42.8666, 0.0000
196, 801, 2058, False, 3425.0000, 0.9493, 0.9562, 66.0367, 284.0660, 51.0000, 46.0075, 0.0005
197, 778, 3425, False, 1536.0000, 0.9765, 0.8606, 44.2233, 157.9828, 119.0000, 109.6196, 0.0000
198, 826, 7729, False, 16585.0000, 0.9368, 0.5673, 145.3158, 551.4285, 51.0000, 35.3268, 0.0000
199, 765, 4091, False, 440.0000, 0.9800, 0.4520, 23.6691, 76.8701, 124.0000, 111.4493, 0.0000
200, 782, 11809, False, 2097.0000, 0.9836, 0.3262, 51.6719, 174.0244, 42.0000, 37.3860, 0.0000
